sentence_espanol,security,reliability,NFR_boolean,,,,,,
El sistema creará un único registro de paciente para cada paciente.,0,0,0,,,,,,
"El sistema asociará (almacenará y vinculará) información de identificación clave (por ejemplo, número de registro médico de identificación del sistema) con cada registro de paciente.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de almacenar más de un identificador para cada registro de paciente.,0,0,0,,,,,,
El sistema proporcionará un campo que identificará a los pacientes como exentos de funciones de notificación.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de fusionar información del paciente de dos registros de pacientes en un solo registro de paciente.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de incluir información demográfica en los informes.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de mantener y poner a disposición información histórica para datos demográficos, incluidos nombres anteriores, direcciones, números de teléfono y direcciones de correo electrónico.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de modificar la información demográfica del paciente.,0,0,0,,,,,,
"El sistema almacenará información demográfica en el registro médico del paciente en campos de datos discretos separados, de modo que las herramientas de extracción de datos puedan recuperar estos datos.",0,0,0,,,,,,
"El sistema brindará la capacidad de acceder a información demográfica, como el nombre, la fecha de nacimiento y el sexo, necesarios para las funciones de atención al paciente.",0,0,0,,,,,,
El sistema deberá capturar y mantener información demográfica como elementos de datos discretos como parte del registro del paciente.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de consultar a un paciente mediante más de una forma de identificación.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar y mantener como elementos de datos discretos la identidad de todos los proveedores asociados con un encuentro con un paciente específico.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar y mantener como elementos de datos discretos el proveedor principal responsable de la atención de un paciente individual.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar, mantener y mostrar como elementos de datos discretos todos los problemas o diagnósticos asociados con un paciente.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de mantener la fecha de inicio del problema o diagnóstico.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mantener la fecha de resolución del problema o diagnóstico.,0,0,0,,,,,,
"El sistema deberá proporcionar la capacidad de registrar la cronicidad (crónica aguda o autolimitada, etc.) de un problema o diagnóstico.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de registrar la identificación del usuario y la fecha de todas las actualizaciones de la lista de problemas o diagnóstico.,1,0,1,,,,,,
El sistema deberá brindar la posibilidad de asociar pedidos de medicamentos y notas con uno o más problemas o diagnósticos.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de asociar órdenes y medicamentos con uno o más problemas o diagnósticos codificados.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mantener una lista codificada de problemas o diagnósticos.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar diferentes vistas del problema o lista de diagnóstico según el estado del problema.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar, mantener y mostrar comentarios de texto libre asociados con el problema o diagnóstico.",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de registrar la prescripción de medicamentos, incluida la identidad del prescriptor.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de mantener las fechas de pedido de medicamentos.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de mantener otras fechas asociadas con los medicamentos, incluidas las fechas de inicio, modificación, renovación y finalización, según corresponda.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar el historial de medicación del paciente.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar medicamentos ingresados ​​por usuarios autorizados distintos del prescriptor.,0,0,0,,,,,,
El sistema almacenará información sobre la medicación en campos de datos discretos.,0,0,0,,,,,,
Como mínimo debe haber un campo para cada uno de los siguientes: - forma y concentración del nombre del medicamento; - cantidad dispensada; - recargas; y - sig.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de ingresar medicamentos sin codificar o en texto libre cuando los medicamentos no estén en la base de datos de medicamentos proporcionada por el proveedor o la información sea insuficiente para identificar completamente el medicamento.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de ingresar o especificar más en un campo discreto que el paciente no toma medicamentos.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de registrar la fecha de los cambios realizados en la lista de medicamentos de un paciente y la identidad del usuario que realizó los cambios.,1,0,1,,,,,,
El sistema deberá brindar la capacidad de actualizar y mostrar una lista de medicamentos específicos del paciente en función de los pedidos o recetas de medicamentos actuales.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar una vista que incluya solo los medicamentos actuales.,0,0,0,,,,,,
"El sistema deberá brindar la posibilidad de excluir un medicamento de la lista de medicamentos actual (por ejemplo, marcado como inactivo, erróneo, completado, descontinuado) y documentar el motivo de dicha acción.",0,0,0,,,,,,
El sistema deberá brindar la posibilidad de imprimir una lista de medicamentos actual.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar que el paciente no toma medicamentos.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar y mantener como elementos de datos discretos todos los medicamentos actuales, incluidos los medicamentos de venta libre y complementarios, como vitaminas, hierbas y suplementos.",0,0,0,,,,,,
El sistema deberá ofrecer la posibilidad de modificar o desactivar un elemento de la lista de alergias y reacciones adversas.,0,0,0,,,,,,
El sistema permitirá mostrar información que haya sido desactivada o eliminada de la lista de alergias y reacciones adversas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de especificar el tipo de reacción alérgica o adversa en un campo de datos discreto.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar y mantener como datos discretos la identidad del usuario que agregó elementos modificados, inactivados o eliminados de la lista de alergias y reacciones adversas, incluidos los atributos de los elementos modificados.",1,0,1,,,,,,
Se registrará la identificación del usuario y la fecha u hora.,1,0,1,,,,,,
El sistema deberá brindar al usuario la capacidad de capturar y mantener explícitamente como datos discretos que se revisó la lista de alergias.,0,0,0,,,,,,
La identificación del usuario y la fecha u hora se registrarán cuando se seleccione la opción de alergias revisadas.,1,0,1,,,,,,
El sistema deberá brindar la capacidad de indicar explícitamente en un campo discreto que un paciente no tiene alergias a medicamentos ni reacciones adversas conocidas.,0,0,0,,,,,,
"El sistema deberá ofrecer la posibilidad de mostrar la lista de alergias, incluida la fecha de entrada.",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar, mantener y mostrar listas de datos discretos de medicamentos y otros agentes a los cuales el paciente ha tenido una reacción alérgica u otra reacción adversa.",0,0,0,,,,,,
